word,value
bentul,-3.0
benyot,-4.0
beol,-5.0
beperkara,-4.0
beradu,-4.0
beradu lidah,-3.0
beradu mulut,-4.0
beraduk,-3.0
beragam,-3.0
berahi,0.0
berair,-1.0
berak,-4.0
berak air,-4.0
berakar,-0.5
berakhlak,-4.0
beralasan,-4.0
beralaskan,-4.0
beralih,-3.0
beralih bentuk,-3.0
berambu-rambu,-4.0
beramuk,-4.0
beramuk-amukan,-4.0
beranak bercucu,-3.0
beranak cucu,-3.0
beranak pinak,-3.0
beranang,-3.0
beranda,-1.0
berandalan,-5.0
berang,-5.0
berangai,-5.0
berangan,-3.0
beranggar lidah,-3.0
berangkal,-3.0
berangkat,-4.0
berangsang,-5.0
berangsur,-3.0
beranjak,-3.0
berantak,-4.0
berantakan,-5.0
berantara,-3.0
berantem,-4.0
berapat-rapat,-3.0
berapit,-4.0
berasa,-2.0
berasak,-3.0
berasal,-3.0
berasimilasi,-3.0
berat ekor,-4.0
berat hati,-4.0
berat kepala,-5.0
berat otak,-4.0
berat pinggul,-2.0
berat tangan,-4.0
berat telinga,-3.0
berat tulang,-4.0
berawan,-3.0
berbabil,-4.0
berbadan dua,-3.0
berbahaya,-4.0
berbakti,-3.0
berbalik,-5.0
berbanding,-3.0
berbantah,-5.0
berbantahan,-3.0
berbayar,-3.0
berbecak-becak,-3.0
berbeda,-4.0
berbelit-belit,-4.0
berbenturan,-4.0
berbiak,-3.0
berbicara,-3.0
berbisa,-5.0
berbohong,-4.0
berbondong-bondong,-3.0
berburu,-3.0
berburuk,-4.0
bercak,-5.0
bercakar-cakaran,-4.0
bercanda,-4.0
bercaran,-4.0
bercat,-3.0
bercedera,-4.0
bercekak,-3.0
bercekcok,-4.0
bercekit,-4.0
bercelah,-3.0
berceloteh,-4.0
bercempera,-5.0
bercengkerama,-2.0
bercerai-berai,-5.0
bercikun-cikun,-5.0
bercintaan,-3.0
bercokol,-0.5
bercorak,-3.0
bercucuran,-5.0
bercumbu,-4.0
bercumbu-cumbu,-3.0
bercumbuan,-3.0
bercura,-4.0
berdakwa,-4.0
berdalih,-4.0
berdampingan,-3.0
berdansa,-0.5
berdarah dingin,-4.0
berdasarkan,-4.0
berdaulat,-3.0
berdebat,-5.0
berdedikasi,-3.0
berdekatan,-4.0
berdekus,-3.0
berdengung,-3.0
berdengus,-3.0
berdenyut,-0.5
berderum,-4.0
berdesakan,-3.0
berdesir,-2.0
berdikit-dikit,-3.0
berdompol,-4.0
berdosa,-4.0
berduaan,-3.0
berduka,-5.0
berdusta,-4.0
berduyun-duyun,-3.0
beredak,-5.0
beregu,-3.0
berengsaan,-4.0
berengsek,-5.0
berenti,-3.0
bergabung,-4.0
bergadang,-4.0
bergaduh,-5.0
bergairah,0.0
bergajul,-5.0
bergamit,-3.0
berganda,-3.0
berganduh,-3.0
berganggang,-3.0
bergaul,-3.0
bergaung,-3.0
bergejolak,-3.0
bergelanggang,-0.5
bergelegak,-3.0
bergelora,0.0
bergelut,-4.0
bergema,-1.5
bergemam,-3.0
bergembung,-3.0
bergemuruh,-3.0
bergerombol,-4.0
bergerombolan berkawanan,-4.0
bergesek,-3.0
bergesel,-3.0
bergeser,-4.0
bergetar,-1.0
bergolak,-5.0
bergontok,-4.0
bergosok,-3.0
bergosokan,-3.0
bergoyah,-4.0
berguam,-4.0
berguguran,-3.0
bergulat,-4.0
bergulir,-3.0
bergumam,-3.0
bergumul,-4.0
berguncang,-5.0
bergundang,-5.0
bergurau,-4.0
bergurau senda,-4.0
berguyub,-3.0
berhala,-4.0
berhamburan,-5.0
berhandai-handai,-3.0
berhantaran,-5.0
berhanyut,-4.0
berhati walang,-3.0
berhelat,-4.0
berhenti (tugas),-2.0
berhimpun,-4.0
berhujah,-4.0
beri,0.0
beri (uang),-2.0
beri uang,-2.0
beringas,-4.0
beringat,-3.0
beringsut,-3.0
berita,-4.0
berjarak,-4.0
berjatuhan,-1.0
berjauh hati,-3.0
berjejak,-3.0
berjejal,-3.0
berjejal-jejal,-3.0
berjejas,-5.0
