word,big
banal,-0.6
banat,-0.8
bancang,-1.0
banci,-0.5
bandang,-0.8
bandar,-0.8
bandel,-0.815
banding,0.3
bandingan,-0.5
bandit,-1.0
bando,-0.8
bandung,-0.2
bangan,-0.3
bangang,-0.675
bangbung,-0.8
banget,0.2
bangett,-0.4
bangga,0.675
bangkai,-0.8
bangkang,-0.8
bangkit,-0.4
bangkit selera,0.6
bangkot,-0.8
bangkrut,-0.625
bangle,-0.8
bangpak,-0.69
bangsai,-0.75
bangsal,-0.6
bangsat,-0.94
bangsawan,-0.3
bangun,-0.5
banjir,0.4
bantah,-0.6
bantah-bantah,1.0
bantai,-1.0
bantalan,0.6
bantar,-0.8
bantat,0.63
banteng,-0.6
bantet,-0.6
banting,-0.3
bantu,-0.4
bantuin,0.6
banyak,0.3866666666666667
banyak akal,0.6
banyak bicara,-0.6
banyak cakap,-0.8
banyak cincong,-0.8
banyak mulut,-0.8
banyak omong,-0.8
banyaknya,0.6
banyol,-0.6
banyolan,0.6
bapa,0.6
bapanda,0.6
bapang,0.6
baper,-0.4
baperan,-0.8
bapet,-0.8
bara,-0.3
baran,-0.75
barbar,-1.0
bareng,0.3
baret,-0.6
baring,0.4
barkas,-1.0
baru,0.34
barua,-1.0
barut,-0.6
barzakh,-0.8
basah kuyup,-0.88
basi,-0.75
baskom,-0.8
basmi,-1.0
bastar,-0.4
batal,-0.815
batalion,-1.0
batang,-0.8
batas,-0.6
batas (waktu),0.3
batas waktu,-0.6
batasan,0.6
batel,-0.8
baterai,-0.6
batil,-0.8400000000000001
batu,0.2
batu berdahak,-0.8
batu loncatan,-0.6
batuk,-0.8
batuk darah,-0.8
batuk kecil,-0.8
batuk kering,-0.6
batuk lelah,-0.8
batuk-batuk,-0.8
batung-batung,-0.8
bau,-0.8
bau kencur,-0.8
bau tanah,-0.4
bausuku,0.6
bawa,-0.3
bawaan,0.6
bawah,-0.5
bawahan,-0.75
bawain,-0.6
bawel,-0.8
baya,-0.8
bayan,0.5
bayang,0.4
bayang-bayang,0.6
bayangan,0.6
bayangkara,0.6
bayar,-0.3
bayi,-0.6
bayu,-0.8
bebal,-0.49
beban,-1.0
bebas,-0.64
bebat,-0.6
bebel,-1.0
beber,0.3
bebodoran,0.4
becak,-1.0
becek,-0.8
becus,0.31666666666666665
beda,-0.4
bedah,0.3
bedebah,-0.5
bedegap,0.3
bedegong,-0.7150000000000001
bedel,-0.8
bedeng,-0.6
bedol,-0.8
begadang,-0.6
begah,-0.4
begak,-0.6
begal,-1.0
begana-begini,-0.8
begini,-0.2
beginian,-0.6
begitu saja,-0.4
bego,-0.75
begu,-0.8
beguk,-0.8
begundal,-0.6
bejat,-0.875
bekal,0.6
bekap,-0.6
bekas,0.4
bekicot,-0.8
beku,-0.63
belagu,0.8
belah,-1.0
belah ketupat,-0.8
belai,-0.8
belaian,-0.6
belain,-0.4
belajar,0.6
belaka,-0.54
belam,-0.6
belang,-1.0
belanja,-0.3
belas,-0.3
belati,-0.8
belembang,-1.0
belendung,-0.6
belenggu,-0.6
beleter,-0.8
beli,-0.3
belia,-0.4
beliin,-0.2
belikan,-0.2
beling,-0.2
belingsat,-0.8
belinjo,-0.6
belis,-0.8
belit,-0.6
beloh,-0.875
belok,0.425
belom,0.1
belongkotan,-0.75
beloon,-0.6
belot,-0.655
belu-belai,-0.8
belukar,0.6
belulang,-0.6
benah hati,-0.6
benak,-0.5
benak kepala,0.3
benang raja,0.8
benar,0.33
benar-benar,0.42000000000000004
bencana,-1.0
bencat,-1.0
benci,-0.5
bencong,-1.0
bendel,-1.0
bendera,-0.6
benderang,-0.6
bendoro,-0.8
bendu,-0.8
bendung,-0.6
bener,0.3
beneran,0.6
bengah,-0.75
bengal,-0.7150000000000001
bengap,-0.6
bengis,-0.75
bengkak,-0.775
bengkak hati,-0.6
bengkeng,-0.63
bengkerap,-0.8
bengkok,-0.7150000000000001
bengkong,-0.63
bengok,-0.745
benguk,-0.605
bening,-0.8
benjut,-0.8
bentak,-1.0
bentakan,-1.0
bentan,-0.8
bentang,-0.3
bentrok,-1.0
bentuk,0.8
bentukan,0.6
bentul,-0.6
bentur,0.2
benyai,-0.5
benyek,-0.5
benyot,-0.8
beol,-1.0
bepergian,0.2
beperkara,-0.8
beracun,-0.63
berada,0.775
beradab,0.68
beradu,-0.8
beradu lidah,-0.6
beradu mulut,-0.8
beraduk,-0.6
beragam,-0.6
berahi,0.5433333333333333
berair,-0.2
beraja,0.5
berak,-0.8
berak air,-0.8
berakal,0.65
berakar,-0.3
berakhlak,-0.8
berakibat,0.6
berakidah,0.8
beralas,0.8
beralasan,-0.8
beralaskan,-0.8
beralih,-0.6
beralih bentuk,-0.6
berambu-rambu,-0.8
beramuk,-0.8
beramuk-amukan,-0.8
beranak,0.6
beranak bercucu,-0.6
beranak cucu,-0.6
beranak pinak,-0.6
beranak-pinak,0.4
beranang,-0.6
beranda,-0.3
berandalan,-1.0
berandang,0.75
berang,-0.75
berangai,-1.0
berangan,-0.6
beranggar lidah,-0.6
berangkal,-0.6
berangkat,-0.8
berangsang,-1.0
berangsur,-0.6
berani,0.44
beranjak,-0.6
berantak,-0.8
berantakan,-0.815
berantara,-0.6
berantem,-0.8
berapat-rapat,-0.6
berapi-api,0.63
berapit,-0.8
beraras,0.8
berarti,0.2
berasa,-0.4
berasak,-0.6
berasal,-0.6
berasap,-0.5
berasimilasi,-0.6
berat,-0.56
berat ekor,-0.8
berat hati,-0.8
berat kepala,-1.0
berat mulut,0.75
berat otak,-0.8400000000000001
berat pinggul,-0.4
berat sebelah,0.63
berat tangan,-0.8
berat telinga,-0.6
berat tulang,-0.8
beraturan,0.8
berawan,-0.675
berawas-awas,0.69
berbabil,-0.8
berbadan dua,-0.6
berbagai,0.6
berbagai macam,0.6
berbagi,0.4
berbahagia,0.56
berbahasa,0.56
berbahaya,-0.7250000000000001
berbakat,0.45999999999999996
berbakti,-0.6
berbalah,0.63
berbalik,-1.0
berbanding,-0.6
berbantah,-0.565
berbantahan,-0.6
berbarik-barik,0.5
berbau,-0.75
berbayar,-0.6
berbecak-becak,-0.6
berbeda,-0.8
berbelit-belit,-0.5900000000000001
berbenak,0.6
berbentuk,0.6
berbenturan,-0.8
berbetulan,0.6
berbiak,-0.6
berbicara,-0.6
berbisa,-0.815
berbobot,0.4
berbohong,-0.8
berbondong-bondong,-0.6
berbuah,0.4
berbudi pekerti yang baik,0.6
berbunga,0.6
berburu,-0.6
berburuk,-0.8
berbusana,0.8
bercahaya,0.8
bercak,-1.0
bercakar-cakaran,-0.8
bercampur baur,-0.75
bercamuk,-0.5
bercanda,-0.8
bercanggah,-0.31
bercaran,-0.8
bercat,-0.6
bercedera,-0.8
bercekak,-0.6
bercekcok,-0.8
bercekit,-0.8
bercelah,-0.6
berceloteh,-0.8
